Date,BND,GLD,SPY,USO,ret_BND,ret_GLD,ret_SPY,ret_USO,mom_ret_BND,mom_ret_GLD,mom_ret_SPY,mom_ret_USO,vol_ret_BND,vol_ret_GLD,vol_ret_SPY,vol_ret_USO,Hidden_state_t+1
2014-03-28,58.4975700378418,124.55999755859375,152.1945037841797,292.9599914550781,-0.0018450782346294105,-0.00024080899198659537,0.004918122445092123,0.003282249490380613,0.018360210143634512,0.07016334511610871,0.008726262627931278,0.03614514298337816,0.002205212881727106,0.010378834036907663,0.006242231518658372,0.011061683891324623,2
2014-03-31,58.4975700378418,123.61000061035156,153.4415740966797,292.7200012207031,0.0,-0.007656055088048172,0.008160536817467546,-0.0008195268775035385,0.017485515106620105,0.04644682837178739,0.026516779009608697,0.06667254403240087,0.002144168169849368,0.009083029039660918,0.006263549741262739,0.009876149000194704,0
2014-04-01,58.43252182006836,123.38999938964844,154.4590301513672,286.6400146484375,-0.001112600246010878,-0.0017813868735330133,0.00660901436443046,-0.020989400780507327,0.016247499513348935,0.03379255499526092,0.03328970272997934,0.05980516510227672,0.0020177400723193845,0.008785416183537264,0.0056327943920435036,0.010553486154546892,1
2014-04-02,58.316978454589844,124.31999969482422,154.9759979248047,286.3999938964844,-0.00197933871972897,0.0075088182006584885,0.003341368672034046,-0.0008377103253191386,0.013395665634076372,0.03954251279301234,0.03953318827810517,0.06431507019428216,0.002031212212785783,0.009012150946969779,0.005670540527041629,0.009363196627629071,1
2014-04-03,58.36751174926758,123.91999816894531,154.7708740234375,289.1199951171875,0.0008661527808658421,-0.0032227028320670663,-0.001324461681002098,0.009452396180053344,0.013015315883937522,0.04202644097330259,0.032085944118880994,0.07346956209802412,0.0019752199227496617,0.008583939398902656,0.005668815974378272,0.009384659178247599,1
2014-04-04,58.540870666503906,125.56999969482422,152.94113159179688,291.44000244140625,0.0029657247961053838,0.013227188238038482,-0.011892704634323105,0.007992351121968383,0.019224427472667387,0.06116228944235514,0.01997509693542662,0.09404829373198885,0.00196374891382737,0.00914325245059928,0.0062937329516550376,0.00947817329851067,1
2014-04-07,58.64921188354492,124.91000366210938,151.2509002685547,290.239990234375,0.0018489832168282687,-0.0052698622747470985,-0.011113037433035117,-0.004126027797306364,0.01920097044521793,0.053018164175560885,0.008208425803962104,0.0923376660924046,0.0019958348685318373,0.009173976325956009,0.006744910807048521,0.009049259860720967,1
2014-04-08,58.69252014160156,126.08999633789062,151.87448120117188,295.20001220703125,0.0007381561406273793,0.009402401345718429,0.004114349047588321,0.016945000798000733,0.01508794514520807,0.0473398252666648,0.009603856696338325,0.10596300804298034,0.0019958788869819948,0.00936820681816242,0.006756105994840156,0.009214937702537339,0
2014-04-09,58.678104400634766,126.31999969482422,153.50726318359375,297.760009765625,-0.00024564478710938244,0.0018224588899723945,0.010693484935176646,0.008634691612859,0.013477390856290164,0.04286257407598564,0.03369172770944531,0.12611289518219468,0.0019547619741509888,0.008627845372663702,0.0071944268533387905,0.008684172659786047,1
2014-04-10,58.85869216918945,127.01000213623047,150.28273010253906,297.6000061035156,0.003072874468690414,0.005447472804123671,-0.021229495751753227,-0.0005375022228457566,0.018039031981573844,0.057691189706983885,0.0016233206454958488,0.11858980542578354,0.0019636807494086295,0.008708100410709184,0.008288821694987373,0.008688772014807984,0
2014-04-11,58.894775390625,126.93000030517578,148.92893981933594,297.44000244140625,0.0006128604670876328,-0.0006300845312460606,-0.009049109091404151,-0.0005377912868648788,0.019272795103669402,0.058981337238194854,-0.012801150305492585,0.09619814254854953,0.001955539196330581,0.008472963297994416,0.008501785687596325,0.008688954862657677,1
2014-04-14,58.88755416870117,127.8499984741211,150.10218811035156,299.0400085449219,-0.00012261978447691054,0.007221933997910394,0.007847037995414882,0.0053648401005667885,0.016917294290435987,0.06511747241627173,-0.0036536451409247533,0.10512272916560794,0.0019205562464155962,0.008474436726394538,0.008436432991371447,0.008148197296303283,0
2014-04-15,58.91644287109375,125.48999786376953,151.1361083984375,299.1199951171875,0.0004904536976262367,-0.018631632703176887,0.0068644947208687575,0.00026744206316924046,0.016293141448348585,0.037014188778345974,0.007449187659853336,0.10420225600920732,0.0019124868648185368,0.009215381380528982,0.008424540430150809,0.00787993461028309,1
2014-04-16,58.88029479980469,125.54000091552734,152.7195587158203,299.8399963378906,-0.0006137363926787357,0.00039838308299643756,0.0104224789771027,0.0024041724915792625,0.015679405055669848,0.04763585311322595,0.014935894812593182,0.09774103206745842,0.0015316664632688164,0.008243612372447312,0.00870128394229385,0.007875154375664625,0
2014-04-17,58.72868347167969,124.75,152.93292236328125,301.2799987792969,-0.002578228538953386,-0.006312705550471783,0.0013961194187864906,0.004791074020607023,0.014834828295992654,0.045592855653697084,0.01567980956037221,0.08590153550499932,0.0016555216272564981,0.008327843321249815,0.008603222248849029,0.007758242286879174,0
2014-04-21,58.743072509765625,124.23999786376953,153.46617126464844,301.1199951171875,0.000244978685092086,-0.004096572985582176,0.0034807507648938318,-0.0005312206756083061,0.012355990104479821,0.019916904029765276,0.02738825262483374,0.08075137355102596,0.001554796931884572,0.008227382647261187,0.008592231713821114,0.0077194906048966795,0
2014-04-22,58.743072509765625,123.77999877929688,154.1636199951172,296.0,0.0,-0.0037093751967073626,0.004534345796558656,-0.017149385857450506,0.009762715946579494,0.012110505761533986,0.053489329938950364,0.06764237943781803,0.0015557627770212531,0.007305292415566659,0.00857910760365771,0.00886610318009461,2
